ENGLISH,TURKISH
recipe,yemek tarifi
recognition,tanıma
recognize,tanımak
recommend,tavsiye etmek
recommendation,tavsiye
record,kayıt
recording,kayıt
recover,iyileşmek
recovery,iyileşmek
recruit,iyileştirmek
red,kırmızı
reduce,azaltmak
reduction,kesinti
refer,bahsetmek
reference,referans
reflect,yansıtmak
reflection,refleks
reform,reform
refugee,mülteci
refuse,reddetmek
regard,saygınlık
regarding,ilişkin
regardless,ne olursa olsun
regime,rejim
region,bölge
regional,bölgesel
register,kayıt olmak
regular,düzenli
regularly,düzenli olarak
regulate,düzenlemek
regulation,düzenleme
reinforce,güçlendirmek
reject,reddetmek
relate,ilgili olmak
relation,ilişki
relationship,ilişki
relative,akraba
relatively,nispeten
relax,rahatlamak
release,serbest bırakmak
relevant,ilgili
relief,rahatlama
religion,din
religious,din
rely,güvenmek
remain,geriye kalmak
remaining,geriye kalan
remarkable,dikkat çekici
remember,Unutma
remind,hatırlatmak
remote,uzak
remove,kaldırmak
repeat,tekrarlamak
repeatedly,tekrar tekrar
replace,yer değiştirmek
reply,cevap vermek
report,rapor
reporter,muhabir
represent,temsil etmek
representation,temsil
representative,temsilci
Republican,Cumhuriyetçi
reputation,itibar
request,rica etmek
require,gerekmek
requirement,gereklilik
research,araştırma
researcher,araştırmacı
resemble,benzemek
reservation,rezervasyon
resident,ikamet eden kişi
resist,direnmek
resistance,rezistans
resolution,çözünürlük
resolve,çözmek
resort,tatil yeri
resource,kaynak
respect,Saygı
respond,yanıtlamak
respondent,katılımcı
response,cevap
responsibility,sorumluluk
responsible,sorumlu
rest,dinlenmek
restaurant,restoran
restore,eski haline getirmek
restriction,kısıtlama
result,sonuç
retain,sürdürmek
retire,emekli olmak
retirement,emeklilik
return,geri dönmek
reveal,ortaya çıkarmak
revenue,hasılat
review,gözden geçirmek
revolution,devrim
rhythm,ritim
rice,pirinç
rich,zengin
rid,kurtulmak
ride,sürmek
rifle,tüfek
right,Sağ
ring,yüzük
rise,yükselmek
risk,risk
river,nehir
road,yol
rock,kaynak
role,rol
roll,rulo
romantic,romantik
roof,çatı
room,oda
root,kök
rope,halat
rose,gül
rough,kaba 
roughly,kabaca
round,yuvarlak
route,rota
routine,rutin
row,sıra
rub,ovmak
rule,kural
run,koşmak
running,koşma
rural,kırsal
rush,acele etmek
Russian,Rusça
sacred,kutsal
sad,üzgün
safe,güvenli
safety,emniyet
sake,hatır
salad,salata
salary,maaş
sale,satış
sales,satış
salt,tuz
same,Aynı
sample,örnek
sanction,yaptırım
sand,kum
satellite,uydu
satisfaction,memnuniyet
satisfy,tatmin etmek
sauce,sos
save,kaydetmek
saving,tasarruf
say,söylemek
scale,ölçek
scandal,skandal
scared,korkmuş
scenario,senaryo
scene,sahne
schedule,takvim
scheme,şema
scholar,bilgin
scholarship,burs
school,okul
science,bilim
scientific,ilmi
scientist,bilim adamı
scope,kapsam
score,Gol
scream,bağırmak
screen,ekran
script,senaryo
sea,deniz
search,aramak
season,mevsim
seat,koltuk
second,ikinci
secret,gizli
secretary,sekreter
section,bölüm
sector,sektör
secure,güvenli
security,güvenlik
see,Görmek
seed,tohum
seek,aramak
seem,gözükmek
segment,bölüm
seize,ele geçirmek
select,seçme
selection,seçim
self,öz
sell,satmak
Senate,Senato
senator,senatör
send,Göndermek
senior,kıdemli
sense,algı
sensitive,hassas
sentence,cümle
separate,ayırmak
sequence,sekans
series,seri
serious,cidden
seriously,Cidden
serve,sert
service,hizmet
session,oturum
set,ayarlamak
setting,ayar
settle,yerleşmek
settlement,yerleşim
seven,Yedi
several,birçok
severe,haşin
sex,seks
sexual,cinsel
shade,gölge
shadow,gölge
shake,sallamak
shall,olacak
shape,şekil
share,paylaşmak
sharp,keskin
she,o
sheet,çarşaf
shelf,raf
shell,kabuk
shelter,barınak
shift,vardiya
shine,parlamak
ship,gemi
shirt,gömlek
shit,bok
shock,şok
shoe,ayakkabı
shoot,film çekmek
shooting,çekim
shop,mağaza
shopping,alışveriş
shore,sahil
short,kısa
shortly,kısaca
shot,atış
should,yapmalı
shoulder,omuz
shout,bağırmak
show,göstermek
shower,duş
shrug,omuz silkmek
shut,kapat
sick,hasta
side,taraf
sigh,iç çekmek
sight,görünüş
sign,imza
signal,sinyal
significance,önem
significant,önemli
significantly,önemli ölçüde
silence,sessizlik
silent,sessiz
silver,gümüş
similar,benzer
similarly,benzer şekilde
simple,basit
simply,basitçe
sin,günah
since,o zamandan beri
sing,şarkı söylemek
singer,şarkıcı
single,Bekar
sink,atmak
sir,Sayın
sister,kız kardeş
sit,oturmak
site,alan
situation,durum
six,altı
size,boyut
ski,kayak
skill,yetenek
skin,deri
sky,gökyüzü
slave,köle
sleep,uyumak
slice,dilim
slide,slayt
slight,hafif
slightly,biraz
slip,kayma
slow,yavaş
slowly,yavaşça
small,küçük
smart,akıllı
smell,koku
smile,gülümsemek
smoke,duman
smooth,düz
snap,patlatmak
snow,kar
so,Bu yüzden
so-called,sözde
soccer,futbol
social,sosyal
society,toplum
soft,yumuşak
software,yazılım
soil,toprak
solar,güneş
soldier,asker
solid,sağlam
solution,çözüm
solve,çözmek
some,bazı
somebody,birisi
somehow,bir şekilde
someone,birisi
something,bir şey
sometimes,Bazen
somewhat,biraz
somewhere,bir yerde
son,oğul
song,şarkı
soon,yakında
sophisticated,komplike
sorry,Üzgünüm
sort,düzenlemek
soul,ruh
sound,ses
soup,çorba
source,kaynak
south,güney
southern,güney
Soviet,Sovyet
space,uzay
Spanish,İspanyol
speak,konuşmak
speaker,hoparlör
special,özel
specialist,uzman
species,türler
specific,özel
specifically,özellikle
speech,konuşma
speed,hız
spend,harcamak
spending,harcama
spin,döndürmek
spirit,ruh
spiritual,manevi
split,bölmek
spokesman,sözcü
sport,spor
spot,leke
spread,yaymak
spring,bahar
square,kare
squeeze,sıkmak
stability,istikrar
stable,stabil
staff,kadro
stage,sahne
stair,merdiven
stake,hisse
stand,durmak
standard,standart
standing,ayakta
star,yıldız
stare,bakmak
start,başlangıç
state,durum
statement,ifade
station,istasyon
statistics,istatistikler
status,durum
stay,kalmak
steady,sabit durmak
steal,hırsızlık yapmak
steel,çelik
step,adım
stick,sopa
still,Hala
stir,karıştırmak
stock,stoklamak
stomach,karın
stone,taş
stop,durmak
storage,depolamak
store,mağaza
storm,fırtına
story,hikaye
straight,dümdüz
strange,garip
stranger,yabancı
strategic,stratejik
strategy,strateji
stream,aktarım
street,sokak
strength,kuvvet
strengthen,güçlendirmek
stress,stres
stretch,uzatmak
strike,çarpmak
string,sicim
strip,şerit
stroke,felç
strong,güçlü
strongly,şiddetle
structure,yapı
struggle,çabalamak
student,öğrenci
studio,stüdyo
study,çalışmak
stuff,şey
stupid,aptal
style,stil
subject,ders
submit,göndermek
subsequent,sonraki
substance,madde
substantial,varlıklı
succeed,başarmak
success,başarı
successful,başarılı
successfully,başarıyla
such,çok
sudden,birden
suddenly,Birden
sue,dava açmak
suffer,acı çekmek
sufficient,yeterli
sugar,şeker
suggest,tavsiye etmek
suggestion,telkin
suicide,intihar
suit,uygun olmak
summer,yaz
summit,zirve
sun,güneş
super,süper
supply,tedarik
support,Destek
supporter,destekçi
suppose,sanmak
supposed,sözde
Supreme,Yüce
sure,Elbette
surely,kesinlikle
surface,yüzey
surgery,ameliyat
surprise,sürpriz
surprised,şaşırmış
surprising,şaşırtıcı
surprisingly,şaşırtıcı bir şekilde
surround,çevrelemek
survey,anket
survival,hayatta kalma
survive,hayatta kalmak
survivor,hayatta kalan
suspect,şüphelenmek
sustain,güç vermek
swear,küfür
sweep,süpürmek
sweet,tatlı
swim,yüzmek
swing,sallanmak
switch,anahtar
symbol,sembol
symptom,belirti
system,sistem
table,masa
tablespoon,çorba kaşığı
tactic,taktik
tail,kuyruk
take,almak
tale,masal
talent,yetenek
talk,konuşmak
tall,uzun
tank,tankı
tap,musluk
tape,kaset
target,hedef
task,görev
taste,tatmak
tax,vergi
taxpayer,vergi mükellefi
tea,çay
teach,öğretmek
teacher,Öğretmen
teaching,öğretim
team,takım
tear,göz yaşı
teaspoon,çay kaşığı
technical,teknik
technique,teknik
technology,teknoloji
teen,genç
teenager,genç
telephone,telefon
telescope,teleskop
television,televizyon
tell,söylemek
temperature,sıcaklık
temporary,geçici
ten,on
tend,eğilimli olma
tendency,eğilim
tennis,tenis
tension,tansiyon
tent,çadır
term,terim
terms,şartlar
terrible,korkunç
territory,bölge
terror,terör
terrorism,terörizm
terrorist,terörist
test,test
testify,tanıklık etmek
testimony,tanıklık
testing,test
text,metin
than,hariç
thank,teşekkür etmek
thanks,teşekkürler
that,O
the,the
theater,tiyatro
their,onların
them,onlara
theme,tema
themselves,kendileri
then,Daha sonra
theory,teori
therapy,terapi
there,Orası
therefore,Öyleyse
these,bunlar
they,Onlar
thick,kalın
thin,ince
thing,şey
think,düşünmek
thinking,düşünme
third,üçüncü
thirty,otuz
this,Bu
those,onlar
though,Yine de
thought,düşünce
thousand,bin
threat,tehdit
threaten,tehdit etmek
three,üç
throat,boğaz
through,başından sonuna kadar
throughout,boyunca
throw,fırlatmak
thus,Böylece
ticket,bilet
tie,bağlamak
tight,sıkı
time,zaman
tiny,minik
tip,uç
tire,yorulmak
tired,yorgun
tissue,doku
title,başlık
to,ile
tobacco,tütün
today,Bugün
toe,ayak parmağı
together,birlikte
tomato,domates
tomorrow,Yarın
tone,ton
tongue,dil
tonight,bu akşam
too,fazla
tool,alet
tooth,diş
top,tepe
topic,başlık
toss,atmak
total,toplam
totally,tamamen
touch,dokunmak
tough,zorlu
tour,tur
tourist,turist
tournament,turnuva
toward,karşı
towards,karşı
tower,kule
town,şehir
toy,oyuncak
trace,iz
track,izlemek
trade,ticaret
tradition,gelenek
traditional,geleneksel
traffic,trafik
tragedy,trajedi
trail,iz
train,tren
training,eğitim
transfer,aktarma
transform,dönüştürmek
transformation,dönüşüm
transition,geçiş
translate,tercüme etmek
transportation,toplu taşıma
travel,seyahat
treat,davranmak
treatment,tedavi
treaty,anlaşma
tree,ağaç
tremendous,muazzam
trend,eğilim
trial,duruşma
tribe,kabile
trick,kandırmak
trip,seyahat
troop,birlik
trouble,bela
truck,kamyon
truly,tamamen
trust,güven
truth,gerçek
try,denemek
tube,tüp
tunnel,tünel
turn,dönüş
TV,TV
twelve,on iki
twenty,yirmi
twice,iki kere
twin,ikiz
two,iki
type,tip
typical,tipik
typically,tipik olarak
ugly,çirkin
ultimate,nihai
ultimately,sonuçta
unable,aciz
uncle,amca
under,altında
undergo,katlanmak
understand,anlamak
understanding,anlayış
unfortunately,Ne yazık ki
uniform,üniforma
union,birlik
unique,eşsiz
unit,birim
United,Birleşik
universal,evrensel
universe,evren
university,üniversite
unknown,bilinmiyor
unless,meğer ki
unlike,farklı
unlikely,olası değil
until,değin
unusual,olağan dışı
up,yukarı
upon,üzerine
upper,üst
urban,kentsel
urge,dürtü
us,biz
use,kullanmak
used,kullanılmış
useful,kullanışlı
user,kullanıcı
usual,olağan
usually,genellikle
utility,fayda
vacation,tatil
valley,vadi
valuable,değerli
value,değer
variable,değişken
variation,varyasyon
variety,çeşitlilik
various,çeşitli
vary,çeşitli
vast,büyüklük
vegetable,sebze
vehicle,araç
venture,girişim
version,versiyon
versus,karşı
very,çok
vessel,gemi
veteran,kıdemli
via,aracılığıyla
victim,kurban
victory,zafer
video,video
view,görüş
viewer,izleyici
village,köy
violate,ihlal etmek
violation,ihlal
violence,şiddet
violent,şiddetli
virtually,sanal olarak
virtue,erdem
virus,virüs
visible,görünür
vision,görüş
visit,ziyaret etmek
visitor,ziyaretçi
visual,görsel
vital,hayati
voice,ses
volume,hacim
volunteer,gönüllü
vote,oy
voter,seçmen
vs,vs
vulnerable,hassas
wage,maaş
wait,Beklemek
wake,uyanmak
walk,yürümek
wall,duvar
wander,dolaşmak
want,istek
war,savaş
warm,ılık
warn,uyarmak
warning,uyarı
wash,yıkamak
waste,atık
watch,kol saati
water,su
wave,dalga
way,yol
we,Biz
weak,zayıf
wealth,varlık
wealthy,zengin
weapon,silah
wear,giymek
weather,hava durumu
wedding,düğün
week,hafta
weekend,hafta sonu
weekly,haftalık
weigh,tartmak
weight,ağırlık
welcome,Hoş geldin
welfare,refah
well,Peki
west,batı
western,batılı
wet,ıslak
what,Ne
whatever,Her neyse
wheel,teker
when,Ne zaman
whenever,her ne zaman
where,Neresi
whereas,halbuki
whether,ikisinden biri
which,Hangi
while,sırasında
whisper,fısıltı
white,beyaz
who,DSÖ
whole,tüm
whom,kime
whose,kimin
why,Neden
wide,geniş
widely,yaygın olarak
widespread,yaygın
wife,eş
wild,vahşi
will,irade
willing,hevesli
win,kazanç
wind,rüzgâr
window,pencere
wine,şarap
wing,kanat
winner,kazanan
winter,kış
wipe,silip süpürmek
wire,tel
wisdom,bilgelik
wise,bilge
wish,dilek
with,ile
withdraw,geri çekilmek
within,içinde
without,olmadan
witness,tanık
woman,kadın
wonder,merak etmek
wonderful,müthiş
wood,odun
wooden,ahşap
word,kelime
work,iş
worker,işçi
working,çalışma
works,çalışır
workshop,atölye
world,dünya
worried,endişeli
worry,endişelenmek
worth,değer
would,istemek
wound,yara
wrap,dürüm
write,yazmak
writer,yazar
writing,yazma
wrong,yanlış
yard,bahçe
yeah,Evet
year,yıl
yell,bağırmak
yellow,sarı
yes,Evet
yesterday,Dün
yet,henüz
yield,teslim olmak
you,Sen
young,genç
your,senin
yours,senin
yourself,kendin
youth,gençlik
zone,alan
zipper,fermuar
zodiac,zodyak
fondOf,duskunOlmak
quoting,alinti
dictum,ozdeyis
resist,direnmek
indeed,aslinda
immortal,deadless
relase,yainlamak
fiction,kurgu
cavity,bosluk
tempted,cazip
beside,yaninda
pourAut,dokmek
crumbly,kirinti
throw,atmak
almond,badem
oven,firin
sniff,smelling
pretend,yapmacik
threw,atmak
aprons,onluk
flour,un
bacon,pastirma
nut,ceviz
bone,kemik
lick,yalamak
naughty,yaramaz
meanwhile,oSirada
decent,duzgun
pharse,ifadeEtmek
parasol,umbrella
pale,solgun
bush,cali
uneven,duzensiz
stickingUp,dikDurmak
thron,diken
nerd,inekOgrenci
shame,utancVerici
laundry,camasir
ifOnly,keske
harm,zarar
seemstrees,terzi
violence,siddet
annoying,sinirBozucu
inParticular,ozellikle
basedOn,dayali
belief,inanc
firmBelief,kesinInanc
variyety,cesitlilik
appropriate,uygun
thick,kalin
thin,ince
sharp,keskin
messy,daginik
mess,karisiklik
cupboard,dolap
hook,askilik
drawer,cekmece
taste,tatmak
silly,sapsal
pile,yigin
drip,damlama
novel,roman
apperenty,gorunusegore
apperance,gorunmek
worm,solucan
appear,belliOlmak
thread,iplik
threat,tehtit
creepy,urpertici
insect,bocek
above,ustunde
below,altinda
throw,firlatmak
truly,tamamen
needle,igne
occasionally,arasira
awful,berbat
eventually,enindesonunda
shout,bagirmak
hung,takilmak
elegant,zarif
mature,olgun
sense,mantikli
act,davranmak
compiliment,ovgu
complaint,sikayet
insult,hakaret
sign,imza
clever,akilli
amazed,hayretEtmek
change,sans
suppose,sanmak
proud,gururDuymak
assesment,degerlendirme
constantly,ikideBir
literally,gercekten
associated,belirlenmis
demonstrate,gostermek
weak,zayif
opposed,karsi
accurate,kesin
relyOn,guvenmek
teased,dalgaGecmek
archer,okcu
weaver,dokumaci
fabric,kumas
dew,cig
separate,ayirmak
bath,banyo
field,alan
tail,kuyruk
tale,masal
tongue,dil
rude,kaba
pearl,inci
hire,kiralamak
suffer,acicekmek
cheering,tezahuratYapmak
sewing,dikis
unles,megerki
jealous,kiskanc
stereotypic,basmakalip
abuse,taciz
talent,yetenek
competition,yarisma
gasped,nefesikesilmek
tired,yorulmak
tried,denemek
frustrating,sinirBozucu
pot,tencere
desire,arzu
christening,vaftiz
envelope,mektup
bother,rahatsiz
benifit,fayda
dough,hamur
perheaps,maybe
sicisors,makas
rooaster,horoz
observant,dikkatli
arrogant,kibirli
consequence,sonuc
blow,uflemek
bury,gommek
servant,hizmetci
rumour,soylenti
throat,bogaz
retire,emekli
stricking,dikkatCeken
pension,emekliMagisi
flu,nezle
debt,borc
hug,sarilmak
desire,arzu
wierd,dahaAkilli
sweep,supurmek
limp.topal
poll,anket
pool,havuz
nest,yuva
nasty,edepsiz
slippery,kaygan
complain,sikayet
despite,aksine
phase,asama
intensely,yogunBirSekilde
medieval,ortacag
hungrain,edvanture
outh,disari
apart,separate
funding,finasman
jewellery,mucevher
occasion,opportinutes
hymn,ilahi
whisper,fisildamak
hood,kapison
supreme,holly
nervous,gergin
referee,hakem
region,side
rough,rude
fur,kurk
curse,redemption
further,front
apprentice,cirak
mayor,belediyeBaskani
corruption,yolsuzluk
brutual,vahsi
arrest,tutuklama
slave,kole
funreal,cenaze
knight,sovalye
violin,keman
statue,heykel
noble,reputation
feather,tuy
sorcarer,magician
toad,bigFrog
bride,gelin
cereal,grain
belong,aitOlmak
peasant,farmer
circus,sirk
entertain,funny
humid,nemli
grave,mezar
graveyard,mazarlik
lid,kapak
ministry,bakanlik
involve,include
glue,yapistirci
criticize,elsetirmek
suffocation,bogulmak
certain,belirli
nail,civi
shelves,kitaplik
poem,siir
relevant,ilgili
instance,misal
hut,kulube
nagging,dirdir
seduction,bastanCikarma
contributions,katki
victim,kurban
sweat,ter
tear,gozyasi
despite,aksine
colleague,isarkadasi
scarf,atki
trial,deneme
piper,fulut
getRid,kurtulmak
limp,topal
disease,illness
deaf,sagir
cheer,alkis
sculpture,put
parade,gecitToreni
achievement,success
distinct,evident
impact,darbe
diverse,cesit
held,tutmak
delight,memnun
instinct,icgudu
summarize,synopsis
itchy,kasimak
arranged,duzenlanmis
certainly,absolutely
frightened,scary
instinctively,icgudu
stared,bakmak
dried,saved
amuse,enjoying
blush,kizarmak
lend,oduncVermek
borrow,oduncVermek
annoying,frustrating
ashame,shy
patient,hasta
nursery,kres
rhyme,ritim
tempt,cekici
rebel,isyanci
pleasant,nice
gallops,runningFaster
conclusion,solution
subsequently,afterwards
ackquierd,edinilmis
spectaculular,amazing
lookAfter,ilgilenmek
abusing,kotuyeKulanma
revise,gozdenGecirme
purpose,objective
convince,persuade
relate,interestedin